title,url,source,category,published_date,content
Pemain Qatar Minta Maaf Usai Bikin Kaki Kone Patah di Piala Dunia,https://www.cnnindonesia.com/olahraga/20260619134304-142-1370850/pemain-qatar-minta-maaf-usai-bikin-kaki-kone-patah-di-piala-dunia,CNN Indonesia,olahraga,2026-06-19,"Pemain Qatar Assim Madibo sudah meminta maaf kepada Ismael Kone usai membuatnya patah kaki dalam pertandingan Piala Dunia 2026 .
Kanada meraih kemenangan telak 6-0 atas Qatar pada laga kedua Grup B Piala Dunia 2026 di BC Place, Vancouver, Jumat (19/6) dini hari WIB.
Namun, kemenangan Kanada harus dibayar mahal dengan kehilangan satu pemain andalannya, Ismael Kone, yang mengalami cedera patah tulang kaki kiri usai ditekel pemain Qatar Assim Madibo pada awal babak kedua.
Ismael Kone tidak bisa melanjutkan permainan dan harus dilarikan ke rumah sakit untuk dilakukan operasi. Sedangkan, Assim Madibo langsung diganjar kartu merah.
Madibo tampak tak menyangka tekelnya menyebabkan Kone cedera parah dan dirinya diganjar kartu merah.
Usai pertandingan, Madibo pun langsung mendatangi ruang ganti tim Kanada untuk meminta maaf kepada Ismael Kone.
Namun, Kone tidak ada di ruang ganti karena sudah berada di rumah sakit untuk operasi. Hal itu diungkapkan oleh pelatih Kanada, Jesse Marsch.
""Pemain itu meminta maaf kepada Ismael. Dia datang ke ruang ganti dan meminta maaf kepadanya. Ismael memberi tahu tim tentang kejadian itu,"" ucap Marsch dikutip dari USA Today .
Sebagai pelatih, Marsch menilai insiden tersebut bukan kesengajaan. Marsch yakin Madibo tidak berniat untuk melakukan tekel brutal.
""Saya rasa dia tidak bermaksud melakukan tekel yang begitu brutal atau situasi yang mengerikan. Jadi saya tidak menyalahkannya untuk itu, tetapi saya tidak mengerti reaksi dari seluruh bangku cadangan mereka yang mencoba memulai perkelahian tentang kartu merah padahal pelanggaran jelas baru saja terjadi yang menyebabkan kaki seorang pemain patah,"" kata Marsch.
Dalam laga ini Kanada sudah berada di atas angin sejak babak pertama. Cyle Larin membuka keunggulan pada menit ke-16 sebelum Jonathan David menggandakan skor menjadi 2-0. Situasi semakin menguntungkan tuan rumah setelah pemain Qatar, Homam Al Amin, mendapat kartu merah pada menit ke-33.
Memanfaatkan keunggulan jumlah pemain, Kanada menambah gol lewat Jonathan David pada masa injury time babak pertama untuk menutup 45 menit awal dengan keunggulan 3-0.
Pada babak kedua, setelah Qatar kembali kehilangan pemain akibat kartu merah Madibo, Kanada terus menekan. Gol tendangan bebas Saliba membuat skor menjadi 4-0 pada menit ke-64.
Tekanan Kanada berlanjut dan berbuah gol bunuh diri bek Qatar, Mohamed Al Mannal, yang gagal menghalau bola dengan sempurna. Skor berubah menjadi 5-0.
Menjelang laga usai, Jonathan David melengkapi penampilan gemilangnya dengan mencetak gol ketiga pada menit ke-90+2. Hattrick tersebut sekaligus memastikan kemenangan meyakinkan Kanada dengan skor akhir 6-0."
Piala Dunia 2026: Pemain Iran Dikelilingi Orang dengan Senapan Mesin,https://www.cnnindonesia.com/olahraga/20260619132524-142-1370820/piala-dunia-2026-pemain-iran-dikelilingi-orang-dengan-senapan-mesin,CNN Indonesia,olahraga,2026-06-19,"Pemain-pemain timnas Iran menghadapi situasi yang begitu menegangkan dalam penyelenggaraan Piala Dunia 2026 .
Paulo Alexandre Araujo, seorang spesialis performa dan pemulihan yang menangani timnas Iran menceritakan situasi Mehdi Taremi dan kawan-kawan dalam gempita bola dunia tahun ini.
Araujo sudah punya pengalaman membantu banyak kesebelasan melakukan pemulihan dalam kejuaraan, namun kali ini ia menemukan hal yang sungguh jauh berbeda.
Sebagai gambaran, pemain Iran harus segera meninggalkan wilayah Amerika Serikat setelah berlaga menghadapi Selandia Baru. Hal itu membuat Araujo harus membalut luka pemain di pesawat dalam perjalanan kembali ke tempat menginap Team Melli di Tijuana, Meksiko.
Menurut Araujo selama ini dirinya biasa melakukan pekerjaan perawatan pemain di ruang ganti.
""Ada banyak hal yang tidak adil,"" ucap Araujo dalam sebuah wawancara di Tijuana, seperti dilansir dari The New York Times.
Araujo menjelaskan kondisi para pemain sangat terganggu. Timnas Iran harus beradaptasi tampil tanpa analis, petugas media, dan anggota staf lain yang dibutuhkan untuk melakukan tugas penting.
Bahkan pemain Iran harus berhadapan langsung dengan senjata api yang digunakan orang-orang yang mengawal mereka dalam perjalanan.
""Ketika para pemain menunggu di bandara selama dua, tiga jam, dan tiba di sana dikelilingi orang-orang dengan senapan mesin dan hal-hal lain semua itu, mereka tidak terbiasa dengan hal itu,"" jelas Araujo.
Sebelumnya kapten Taremi dan pelatih Amir Ghalenoei menyatakan Iran menjadi tim yang paling teraniaya di Piala Dunia 2026 lantaran mendapat perlakuan diskriminasi di Amerika Serikat.
Pemerintah AS memberikan pembatasan yang ketat dan tidak mengizinkan Iran tinggal di wilayah mereka. Iran pun terpaksa menjadikan Tijuana sebagai markas selama Piala Dunia.
""Ketika Anda bicara soal kompetisi yang adil, maka ini bukan cara yang seharusnya untuk memperlakukan olahragawan,"" tukas Araujo."
"FOTO: Hancurkan Qatar 6-0, Kanada Cetak Sejarah di Piala Dunia",https://www.cnnindonesia.com/olahraga/20260619095555-144-1370719/foto-hancurkan-qatar-6-0-kanada-cetak-sejarah-di-piala-dunia,CNN Indonesia,olahraga,2026-06-19,
Pelatih Kanada soal Cedera Ismael Kone: Semua Mendengar Tulang Patah,https://www.cnnindonesia.com/olahraga/20260619114644-142-1370783/pelatih-kanada-soal-cedera-ismael-kone-semua-mendengar-tulang-patah,CNN Indonesia,olahraga,2026-06-19,"Pelatih Kanada, Jesse Marsch mengaku seluruh skuad terguncang dengan cedera patah kaki yang dialami Ismael Kone saat menang 6-0 atas Qatar pada matchday kedua Grup B Piala Dunia 2026 , Jumat (19/6) dini hari WIB.
Nasib nahas itu dialami rekan setim Jay Idzes di Sassuolo itu pada awal babak kedua. Kone mengalami cedera parah setelah tekel terlambat yang dilakukan oleh pemain Qatar, Assim Modibo.
Momen itu terjadi ketika para pemain Kanada berada di area permainan Qatar. Kone yang ingin memberikan back pass ke rekan setimnya dilanggar dengan keras oleh Modibo hingga terjatuh.
""Saya belum berbicara dengan Ismael, dia di rumah sakit, dia akan bersiap untuk operasi. Saya akan menemuinya setelah konferensi pers ini,"" ucap Marsch dikutip dari Irish News .
""Kita lihat apa yang akan kami putuskan untuknya. Keluarganya bersama dia di rumah sakit. Kejadian itu terjadi tepat di depan bangku cadangan - semua orang bisa mendengar tulang patah,"" katanya melanjutkan.
Marsch mengaku dirinya turut merasa sedih dengan apa yang dialami oleh Kone. Pelatih asal Amerika Serikat itu pun memuji reaksi Kone saat ditandu keluar lapangan oleh tim medis.
""Hati kami ikut sedih untuknya dan semua orang sedikit terguncang oleh kejadian itu karena sifat cedera tersebut dan juga karena Ismael adalah bagian penting dari tim,"" ucapnya.
""Anda juga melihat bahwa dia melambaikan tangan kepada penonton dan hampir membuat semua orang merasa nyaman dengan kenyataan bahwa dia dan itu adalah pernyataan yang luar tentang Ismael sebagai pribadi."""
Roy Suryo dan dr Tifa Ditangkap Polisi Kasus Ijazah Jokowi,https://www.cnnindonesia.com/nasional/20260619075914-12-1370678/roy-suryo-dan-dr-tifa-ditangkap-polisi-kasus-ijazah-jokowi,CNN Indonesia,berita,2026-06-19,"Tersangka kasus tudingan ijazah palsu Presiden RI ke-7 Joko Widodo, Tifauziah Tyassuma alias dokter Tifa dan Roy Suryo dikabarkan ditangkap polisi pada Jumat (19/6) pagi.
Kabar ini dibenarkan oleh salah satu tim pengacara Roy Suryo, Petrus Selestinus, kepada CNNIndonesia.com.
""Hari ini, Jum'at 19 Juni 2026, pada sekira pukul 07.00, klien kami Roy Suryo Notodiprojo dikabarkan oleh istrinya telah ditangkap oleh penyidik Polda Metro Jaya. Pada saat yang bersamaan, kami juga mendapat info Tifauzia Tyassuma juga turut ditangkap,"" kata Petrus.
Dr Tifa ditangkap oleh aparat kepolisian di apartemennya pada Jumat pagi (19/6) sekitar pukul 06.47 WIB.
Petrus mengaku menyayangkan tindakan penyidik Polda Metro Jaya yang melakukan upaya paksa melalui penangkapan terhadap kliennya.
""Padahal klien kami selama ini kooperatif memenuhi panggilan penyidik bahkan selalu melaksanakan Wajib Lapor (WL),"" ujar dia.
""Kedua, jika tindakan dimaksud adalah dalam rangka tahap dua atau sebagaimana dikabarkan berkas sudah lengkap, maka tindakan tersebut bisa dilakukan dengan melayangkan Surat Panggilan. Bukan dengan upaya paksa (represif) melalui proses penangkapan,"" imbuhnya.
Sementara itu tim hukum dr Tifa Azis Yanuar berkata kliennya dijemput polisi di apartemennya sekitar pukul 06.47 WIB.
""Ya benar, ditangkap,"" kata Azis kepada CNNIndonesia.com .
Baik Roy Suryo maupun dr Tifa telah berstatus tersangka kasus tudingan ijazah palsu Jokowi sejak November 2025 lalu.
Setelah sekian lama berproses, Polda Metro Jaya pada 2 Juni 2026 menyebut berkas perkara Roy Suryo dan dokter Tifa di kasus tudingan ijazah palsu Presiden ke-7 RI Joko Widodo (Jokowi) telah dinyatakan lengkap atau P21 oleh Kejaksaan Tinggi (Kejati) DKI Jakarta.
""Alhamdulillah jaksa sampai dengan hari ini sudah menyatakan bahwa berkas perkara yang kami kirimkan ke Kejati DKI, tidak memerlukan lagi pemenuhan atas kekurangan-kekurangan yang kemaren sudah kami penuhi,"" kata Direktur Reskrimum Polda Metro Jaya Kombes Iman Imanuddin di Polda Metro Jaya, Selasa (2/6).
Disampaikan Iman, dalam waktu dekat pihaknya akan melakukan pelimpahan tahap II ke kejaksaan. Kendati demikian, Iman belum bisa memastikan kapan pelimpahan tahap II akan dilakukan.
Merespons itu, kuasa hukum Jokowi, Yakup Hasibuan meyakini kasus tudingan ijazah palsu Jokowi yang menjerat Roy Suryo tinggal menunggu tahap II untuk selanjutnya ditangkap.
Tahap II adalah proses penyerahan tersangka dan barang bukti dari kepolisian ke kejaksaan setelah berkas perkara dinyatakan lengkap (P-21).
Yakup mengatakan pihaknya tidak heran apabila dalam waktu dekat Roy Suryo dipanggil penyidik untuk menjalani tahap 2.
Ia juga menyinggung kemungkinan adanya penahanan. Namun, Yakup mengatakan hal itu sepenuhnya merupakan kewenangan penyidik.
""Kami tidak heran kalau sebentar lagi mungkin akan ada panggilan untuk Mas Roy untuk melakukan tahap 2 atau penahanan, saya enggak tahu karena itu mungkin memang kewenangan dari penyidik. Kami juga sama sekali tidak pernah mendesak untuk melakukan penahanan dan sebagainya karena itu murni kewenangan penyidik,"" katanya"
Hendropriyono Bantah Isu Terlibat Aksi Penggulingan Pemerintah,https://www.cnnindonesia.com/nasional/20260619122834-32-1370799/hendropriyono-bantah-isu-terlibat-aksi-penggulingan-pemerintah,CNN Indonesia,berita,2026-06-19,"Mantan Kepala Badan Intelijen Negara (BIN) A.M. Hendropriyono menegaskan dirinya dan orang-orang dekatnya tidak terlibat dalam aksi penggulingan pemerintah yang sah.
Pernyataan itu disampaikan Hendropriyono menjawab pertanyaan soal isu orang yang ada di dekatnya berada di balik gerakan gelombang aksi mengkritik keras pemerintah. Menurut dia, isu atau tuduhan itu adalah hoaks.
""Bahwa saya dan orang-orang yang ada di dekat saya tidak ada yang terlibat. Tidak ada teman-teman maupun keluarga yang tidak mendukung pemerintah,"" ujar Hendropriyono, Jumat (19/6).
Ia menegaskan pihaknya tidak mendukung dan memerintahkan aksi-aksi yang bertujuan menggulingkan pemerintahan yang sah.
Menurut Hendropriyono, penyampaian pendapat di muka umum harus tetap berada dalam koridor hukum dan konstitusional. Karena itu, ia menegaskan bahwa informasi yang menyebut dirinya mendukung penggulingan pemerintah adalah hoaks dan fitnah.
Ia menekankan persatuan bangsa, ketertiban konstitusi, dan keselamatan negara harus selalu ditempatkan di atas kepentingan golongan maupun ambisi politik sesaat.
Jenderal penerima Bintang RI dari Presiden Prabowo Subianto itu menjelaskan bahwa demokrasi hanya dapat berkembang dengan baik apabila perbedaan disalurkan melalui cara-cara yang damai, beradab, dari konstitusional.
Menurut dia, semua upaya inkonstitusional yang mengancam persatuan bangsa dan pemerintahan yang sah, dinilainya, tidak boleh mendapatkan empat dalam kehidupan bernegara.
Hendropriyono menegaskan selalu memegang prinsip menjaga keutuhan Republik Indonesia dan stabilitas nasional. Prinsip itu, lanjutnya, dia pegang teguh sejak aktif sebagai anggota TNI hingga pensiun.
""Sejak dulu, saya dan teman-teman tentara, yang sekarang purnawirawan, apalagi yang masih aktif, mengabdikan diri kepada negara dalam berbagai penugasan. Prinsip kami sama, menjaga keutuhan Republik Indonesia yang Pancasilais, UUD 1945, dan stabilitas nasional,"" katanya.
Ia lantas meminta masyarakat tidak mudah percaya informasi palsu dan selalu mengecek setiap informasi yang diterima.
""Saya mengajak masyarakat untuk tidak mudah percaya terhadap hoaks, apalagi simulakra. Selalu periksa fakta sebelum menyebarkan informasi, jangan main forward aja,"" katanya.
Selain itu, Hendropriyono pun menyebut tidak ada hubungan antara kerabat dengan pilihan atau pandangan politik atau ideologi. Kedua hal tersebut tidak bisa disamakan.
""Anak, menantu, saudara, besan, maupun kerabat dapat saja memiliki pandangan politik yang berbeda. Tidak selalu sama,"" katanya.
""Dalam politik, setiap orang bertanggung jawab atas sikap dan tindakannya sendiri, bukan atas hubungan kekeluargaan. Kekerabatan tidak identik dengan kesamaan ideologi. Hubungan darah tidak dapat dijadikan bukti adanya hubungan politik. Itu yang harus dipegang kalau memang kita orang yang melek dan intelek,"" sambungnya."
Tim Hukum: Dokter Tifa Ditangkap saat Ujian S3 Fakultas Kedokteran UI,https://www.cnnindonesia.com/nasional/20260619083104-12-1370691/tim-hukum-dokter-tifa-ditangkap-saat-ujian-s3-fakultas-kedokteran-ui,CNN Indonesia,berita,2026-06-19,"Tim hukum dokter Tifa mengungkap kliennya ditangkap aparat kepolisian pada Jumat (19/6) pagi di apartemennya, terkait kasus tudingan ijazah palsu Jokowi .
Dalam keterangan resmi, salah satu tim hukum dokter Tifa, Azis Yanuar menyebut kabar penangkapan itu disampaikan langsung oleh dokter Tifa. Polisi langsung membawa dokter Tifa ke Polda Metro Jaya.
Azis berkata dokter Tifa ditangkap saat sedang mengikuti ujian S3 Fakultas Kedokteran Universitas Indonesia (FKUI). Sebab itu, dalam salah satu ruangan di Polda Metro Jaya tempat dokter Tifa berada, kliennya masih membuka laptop untuk mengikuti proses ujian.
""Dokter Tifa tampak berada di depan laptop dan menyampaikan bahwa dirinya sedang mengikuti ujian S3 Fakultas Kedokteran Universitas Indonesia (FKUI) dari suatu ruangan di Polda Metro Jaya,"" ujar Azis.
""Hingga rilis ini diterbitkan, belum diperoleh penjelasan resmi mengenai dasar hukum maupun alasan dilakukannya penangkapan tersebuT, karena selama ini dr Tifa patuh untuk melakukan wajib lapor di Polda Metro hingga pekan kemarin,"" kata Azis.
Selain dokter Tifa, polisi juga menangkap tersangka lain, Roy Suryo. Keduanya sudah berstatus tersangka kasus tudingan ijazah palsu Jokowi sejak November 2025.
Roy Suryo ditangkap pada hari yang sama, pukul 07.00 WIB hanya hanya berselang beberapa menit dari penangkapan terhadap dokter Tifa.
Hal itu diungkap oleh salah satu tim hukum Roy Suryo, Ahmad Khozinudin, dalam keterangan resmi. Petrus juga mengecam penangkapan kliennya.
Penangkapan oleh polisi disebutnya kurang pas mengingat Roy Suryo selalu kooperatif memenuhi panggilan penyidik bahkan selalu melaksanakan Wajib Lapor (WL).
Dan jika penangkapan dilakukan sebagai tindak lanjut Tahap II setelah berkas perkara dinyatakan lengkap, Khozinudin berkata seharusnya tindakan tersebut bisa dilakukan dengan melayangkan Surat Panggilan.
""Bukan dengan upaya paksa (represif) melalui proses penangkapan,"" ucap dia.
Khozinudin menegaskan, pihaknya meyakini penangkapan Roy Suryo oleh polisi mengonfirmasikan proses hukum tidak berjalan sesuai norma dan etika.
Proses hukum kasus ijazah Jokowi ini, disebut Khozinudin sudah melayani kepentingan politik Jokowi.
""Penangkapan ini, justru mengkonfirmasi ada kekuatan politik yang mengintervensi hukum sehingga cara-cara yang beradab dalam menegakkan hukum melalui pemanggilan ditinggalkan dan beralih menempuh cara tak beradab, represif dan intimidatif dengan melakukan penangkapan,"" ujar dia."
"Roy Suryo Ditangkap, Jokowi Bakal Tunjukkan Ijazah Asli di Persidangan",https://www.cnnindonesia.com/nasional/20260619131210-12-1370811/roy-suryo-ditangkap-jokowi-bakal-tunjukkan-ijazah-asli-di-persidangan,CNN Indonesia,berita,2026-06-19,"Presiden Ketujuh RI Joko Widodo ( Jokowi ) memastikan bakal menunjukkan ijazah asli di persidangan kasus tudingan ijazah palsu yang menyeret Roy Suryo dan Tifauzia Tyassuma alias dokter Tifa.
Hal itu disampaikan Jokowi saat merespons penangkapan Roy dan Tifa oleh penyidik Polda Metro Jaya, Jumat (19/6) pagi.
Jokowi menegaskan pihaknya menghormati proses hukum hingga kasus tersebut bergulir ke meja hijau untuk ajang pembuktian.
""Ya hadir (persidangan). Iya, sesuai yang sudah saya sampaikan,"" ujar Jokowi di kediamannya saat menjawab pertanyaan wartawan soal kepastian membawa bukti ijazah asli di persidangan.
Jokowi mengatakan ijazah asli miliknya masih berada di tangan polisi sebagai barang bukti dalam kasus tersebut.
Ayah dari Wapres Gibran Rakabuming itu pun menekankan bakal mengikuti proses hukum yang sedang berjalan.
""Kita ikuti proses hukum yang ada sampai nanti proses sidang di pengadilan, karena nanti pengadilan lah yang akan memutuskan. Kita ikuti, kita ikuti,"" kata Jokowi.
Roy Suryo ditangkap polisi usah salat subuh tadi pagi, sementara dokter Tifa ditangkap saat dalam proses ujian online S3.
Penasihat hukum Refly Harun mengatakan Roy Suryo tidak menandatangani surat penangkapan. Refly memprotes penangkapan tersebut.
""Kami protes keras, ya, protes keras kami. Dan sekali lagi, kalau misalnya ini terkait dengan katakanlah kasus pembunuhan, kasus korupsi, dan lain sebagainya, masuk akal kalau ditangkap dan ditahan,"" ujar dia."
Jokowi Respons Penangkapan Roy Suryo dan Dokter Tifa di Jumat Pagi,https://www.cnnindonesia.com/nasional/20260619114107-20-1370781/jokowi-respons-penangkapan-roy-suryo-dan-dokter-tifa-di-jumat-pagi,CNN Indonesia,berita,2026-06-19,"Presiden Ketujuh RI, Joko Widodo ( Jokowi ) menanggapi penangkapan Roy Suryo dan Tifauzia Tyassuma alias dokter Tifa oleh penyidik Polda Metro Jaya, Jumat (19/6) pagi.
Keduanya telah ditetapkan sebagai tersangka dalam kasus dugaan pencemaran nama baik terkait ijazah Jokowi sejak beberapa bulan yang lalu.
Jokowi tak berkomentar banyak mengenai perkembangan terkini terhadap kasus yang ia laporkan setahun yang lalu itu. Ia mengatakan pihaknya siap mengikuti proses hukum yang berlangsung.
""Kita ikuti proses hukum yang ada sampai nanti di sidang di pengadilan. Karena nanti pengadilanlah yang akan memutuskan,"" kata Jokowi saat ditemui di kediaman Sumber, Jumat (19/6) siang.
Pada berbagai kesempatan, ayah Wakil Presiden Gibran Rakabuming Raka itu mengaku siap menghadiri langsung proses persidangan jika diminta oleh hakim. Jokowi dengan tegas mengatakan dirinya masih berkomitmen memenuhi janji tersebut.
""Ya hadir. Akan hadir sesuai yang sudah saya sampaikan,"" kata dia.
Lebih lanjut, Jokowi mengatakan saat ini ijazahnya masih berada di tangan Polisi sebagai barang bukti dalam kasus tersebut.
""Iya. Masih di Polda,"" kata dia.
Sebelumnya, tersangka kasus tudingan ijazah palsu Jokowi, dokter Tifa dan Roy Suryo dikabarkan ditangkap polisi pada Jumat (19/6) pagi. Kabar ini dibenarkan oleh salah satu tim pengacara Roy Suryo, Petrus Selestinus, kepada CNNIndonesia.com.
""Hari ini, Jumat 19 Juni 2026, pada sekira pukul 07.00, klien kami Roy Suryo Notodiprojo dikabarkan oleh istrinya telah ditangkap oleh penyidik Polda Metro Jaya. Pada saat yang bersamaan, kami juga mendapat info Tifauzia Tyassuma juga turut ditangkap,"" kata Petrus.
Dokter Tifa telah ditangkap oleh aparat kepolisian di apartemennya pada Jumat pagi (19/6) sekitar pukul 06.47 WIB."
Kubu Roy Suryo: Bismillah Kami Deklarasi Perang Hukum Lawan Jokowi,https://www.cnnindonesia.com/nasional/20260619132202-12-1370822/kubu-roy-suryo-bismillah-kami-deklarasi-perang-hukum-lawan-jokowi,CNN Indonesia,berita,2026-06-19,"Kuasa hukum Roy Suryo , Ahmad Khozinudin, menyatakan perang terbuka secara hukum melawan Presiden ke-7 RI Joko Widodo .
Roy Suryo sebelumnya ditangkap Polda Metro Jaya terkait kasus tudingan ijazah palsu Jokowi.
""Karena saudara Joko Widodo sudah sampai tahapan ini, bismillahirrahmanirrahim kami nyatakan perang terbuka secara hukum melawan saudara Joko Widodo,"" kata Ahmad di Polda Metro Jaya, Jumat (19/6).
Ahmad mengatakan jika Polda memutuskan untuk menahan Roy, maka hal itu menunjukkan hukum tidak lagi berjalan berdasarkan norma dan aturan yang berlaku, namun dipengaruhi oleh kepentingan politik.
""Kalau tindakan penahanan diambil, maka lagi-lagi saya konfirmasi, hukum di negeri ini tidak lagi tunduk pada norma dan aturan, tetapi tunduk pada atensi dan atensi politik saudara Joko Widodo,"" ujar dia.
Ahmad juga mempertanyakan apakah Jokowi sudah puas dengan proses hukum yang menjerat Roy.
""Puas sekarang saudara? Melihat anak bangsa, warga negara anda hari ini dijemput secara paksa, apakah anda cukup puas dengan peristiwa hari ini? Atau anda kurang puas, ingin Roy Suryo dan kawan-kawan ditahan semuanya?"" ujarnya.
Selain Roy, salah satu tersangka lain yakni Tifauziah Tyassuma alias dokter Tifa juga dilaporkan ditangkap. Polda Metro Jaya belum memberi keterangan soal penangkapan ini.
Polda Metro Jaya sebelumnya menyebut berkas perkara Roy Suryo dan Tifauziah Tyassuma alias dokter Tifa di kasus tudingan ijazah palsu Presiden ke-7 RI Joko Widodo telah dinyatakan lengkap atau P21 oleh Kejaksaan Tinggi (Kejati) DKI Jakarta.
""Alhamdulillah jaksa sampai dengan hari ini sudah menyatakan bahwa berkas perkara yang kami kirimkan ke Kejati DKI, tidak memerlukan lagi pemenuhan atas kekurangan-kekurangan yang kemaren sudah kami penuhi,"" kata Direktur Reskrimum Polda Metro Jaya Kombes Iman Imanuddin di Polda Metro Jaya, Selasa (2/6)."
